Replicate	Treatment	Bin	Count
Sim99	STS-S	0.06	0
Sim100	STS-S	0.06	0
Sim1	STS-S	0.1	0
Sim2	STS-S	0.1	0
Sim3	STS-S	0.1	0
Sim4	STS-S	0.1	0
Sim5	STS-S	0.1	0
Sim6	STS-S	0.1	0
Sim7	STS-S	0.1	0
Sim8	STS-S	0.1	0
Sim9	STS-S	0.1	0
Sim10	STS-S	0.1	0
Sim11	STS-S	0.1	0
Sim12	STS-S	0.1	0
Sim13	STS-S	0.1	0
Sim14	STS-S	0.1	0
Sim15	STS-S	0.1	0
Sim16	STS-S	0.1	0
Sim17	STS-S	0.1	0
Sim18	STS-S	0.1	0
Sim19	STS-S	0.1	0
Sim20	STS-S	0.1	1
Sim21	STS-S	0.1	0
Sim22	STS-S	0.1	0
Sim23	STS-S	0.1	0
Sim24	STS-S	0.1	0
Sim25	STS-S	0.1	0
Sim26	STS-S	0.1	0
Sim27	STS-S	0.1	0
Sim28	STS-S	0.1	0
Sim29	STS-S	0.1	0
Sim30	STS-S	0.1	0
Sim31	STS-S	0.1	0
Sim32	STS-S	0.1	0
Sim33	STS-S	0.1	0
Sim34	STS-S	0.1	0
Sim35	STS-S	0.1	0
Sim36	STS-S	0.1	0
Sim37	STS-S	0.1	0
Sim38	STS-S	0.1	0
Sim39	STS-S	0.1	0
Sim40	STS-S	0.1	0
Sim41	STS-S	0.1	0
Sim42	STS-S	0.1	0
Sim43	STS-S	0.1	0
Sim44	STS-S	0.1	0
Sim45	STS-S	0.1	0
Sim46	STS-S	0.1	0
Sim47	STS-S	0.1	0
Sim48	STS-S	0.1	0
Sim49	STS-S	0.1	0
Sim50	STS-S	0.1	0
Sim51	STS-S	0.1	0
Sim52	STS-S	0.1	0
Sim53	STS-S	0.1	0
Sim54	STS-S	0.1	0
Sim55	STS-S	0.1	0
Sim56	STS-S	0.1	0
Sim57	STS-S	0.1	0
Sim58	STS-S	0.1	0
Sim59	STS-S	0.1	0
Sim60	STS-S	0.1	0
Sim61	STS-S	0.1	0
Sim62	STS-S	0.1	0
Sim63	STS-S	0.1	0
Sim64	STS-S	0.1	0
Sim65	STS-S	0.1	0
Sim66	STS-S	0.1	0
Sim67	STS-S	0.1	0
Sim68	STS-S	0.1	0
Sim69	STS-S	0.1	0
Sim70	STS-S	0.1	0
Sim71	STS-S	0.1	0
Sim72	STS-S	0.1	1
Sim73	STS-S	0.1	0
Sim74	STS-S	0.1	0
Sim75	STS-S	0.1	0
Sim76	STS-S	0.1	0
Sim77	STS-S	0.1	0
Sim78	STS-S	0.1	0
Sim79	STS-S	0.1	0
Sim80	STS-S	0.1	0
Sim81	STS-S	0.1	0
Sim82	STS-S	0.1	0
Sim83	STS-S	0.1	0
Sim84	STS-S	0.1	0
Sim85	STS-S	0.1	0
Sim86	STS-S	0.1	0
Sim87	STS-S	0.1	0
Sim88	STS-S	0.1	0
Sim89	STS-S	0.1	0
Sim90	STS-S	0.1	0
Sim91	STS-S	0.1	0
Sim92	STS-S	0.1	0
Sim93	STS-S	0.1	0
Sim94	STS-S	0.1	0
Sim95	STS-S	0.1	0
Sim96	STS-S	0.1	0
Sim97	STS-S	0.1	0
Sim98	STS-S	0.1	0
Sim99	STS-S	0.1	0
Sim100	STS-S	0.1	0
Sim1	STS-S	0.14	0
Sim2	STS-S	0.14	0
Sim3	STS-S	0.14	0
Sim4	STS-S	0.14	0
Sim5	STS-S	0.14	0
Sim6	STS-S	0.14	0
Sim7	STS-S	0.14	0
Sim8	STS-S	0.14	0
Sim9	STS-S	0.14	0
Sim10	STS-S	0.14	0
Sim11	STS-S	0.14	0
Sim12	STS-S	0.14	0
Sim13	STS-S	0.14	0
Sim14	STS-S	0.14	0
Sim15	STS-S	0.14	0
Sim16	STS-S	0.14	0
Sim17	STS-S	0.14	0
Sim18	STS-S	0.14	0
Sim19	STS-S	0.14	0
Sim20	STS-S	0.14	0
Sim21	STS-S	0.14	0
Sim22	STS-S	0.14	0
Sim23	STS-S	0.14	0
Sim24	STS-S	0.14	0
Sim25	STS-S	0.14	0
Sim26	STS-S	0.14	0
Sim27	STS-S	0.14	0
Sim28	STS-S	0.14	0
Sim29	STS-S	0.14	0
Sim30	STS-S	0.14	0
Sim31	STS-S	0.14	0
Sim32	STS-S	0.14	0
Sim33	STS-S	0.14	0
Sim34	STS-S	0.14	0
Sim35	STS-S	0.14	0
Sim36	STS-S	0.14	0
Sim37	STS-S	0.14	0
Sim38	STS-S	0.14	0
Sim39	STS-S	0.14	0
Sim40	STS-S	0.14	0
Sim41	STS-S	0.14	0
Sim42	STS-S	0.14	0
Sim43	STS-S	0.14	0
Sim44	STS-S	0.14	0
Sim45	STS-S	0.14	0
Sim46	STS-S	0.14	0
Sim47	STS-S	0.14	0
Sim48	STS-S	0.14	0
Sim49	STS-S	0.14	0
Sim50	STS-S	0.14	0
Sim51	STS-S	0.14	0
Sim52	STS-S	0.14	0
Sim53	STS-S	0.14	0
Sim54	STS-S	0.14	0
Sim55	STS-S	0.14	0
Sim56	STS-S	0.14	0
Sim57	STS-S	0.14	0
Sim58	STS-S	0.14	0
Sim59	STS-S	0.14	0
Sim60	STS-S	0.14	0
Sim61	STS-S	0.14	0
Sim62	STS-S	0.14	0
Sim63	STS-S	0.14	0
Sim64	STS-S	0.14	0
Sim65	STS-S	0.14	0
Sim66	STS-S	0.14	0
Sim67	STS-S	0.14	0
Sim68	STS-S	0.14	0
Sim69	STS-S	0.14	0
Sim70	STS-S	0.14	0
Sim71	STS-S	0.14	0
Sim72	STS-S	0.14	0
Sim73	STS-S	0.14	0
Sim74	STS-S	0.14	0
Sim75	STS-S	0.14	0
Sim76	STS-S	0.14	0
Sim77	STS-S	0.14	0
Sim78	STS-S	0.14	0
Sim79	STS-S	0.14	0
Sim80	STS-S	0.14	0
Sim81	STS-S	0.14	0
Sim82	STS-S	0.14	0
Sim83	STS-S	0.14	0
Sim84	STS-S	0.14	0
Sim85	STS-S	0.14	0
Sim86	STS-S	0.14	0
Sim87	STS-S	0.14	0
Sim88	STS-S	0.14	0
Sim89	STS-S	0.14	0
Sim90	STS-S	0.14	0
Sim91	STS-S	0.14	0
Sim92	STS-S	0.14	0
Sim93	STS-S	0.14	0
Sim94	STS-S	0.14	0
Sim95	STS-S	0.14	0
Sim96	STS-S	0.14	0
Sim97	STS-S	0.14	0
Sim98	STS-S	0.14	0
Sim99	STS-S	0.14	0
Sim100	STS-S	0.14	0
Sim1	STS-S	0.18	0
Sim2	STS-S	0.18	0
Sim3	STS-S	0.18	0
Sim4	STS-S	0.18	0
Sim5	STS-S	0.18	0
Sim6	STS-S	0.18	0
Sim7	STS-S	0.18	0
Sim8	STS-S	0.18	0
Sim9	STS-S	0.18	0
Sim10	STS-S	0.18	0
Sim11	STS-S	0.18	0
Sim12	STS-S	0.18	0
Sim13	STS-S	0.18	0
Sim14	STS-S	0.18	0
Sim15	STS-S	0.18	0
Sim16	STS-S	0.18	0
Sim17	STS-S	0.18	0
Sim18	STS-S	0.18	0
Sim19	STS-S	0.18	0
Sim20	STS-S	0.18	0
Sim21	STS-S	0.18	0
Sim22	STS-S	0.18	0
Sim23	STS-S	0.18	0
Sim24	STS-S	0.18	0
Sim25	STS-S	0.18	0
Sim26	STS-S	0.18	0
Sim27	STS-S	0.18	0
Sim28	STS-S	0.18	0
Sim29	STS-S	0.18	0
Sim30	STS-S	0.18	0
Sim31	STS-S	0.18	0
Sim32	STS-S	0.18	0
Sim33	STS-S	0.18	0
Sim34	STS-S	0.18	0
Sim35	STS-S	0.18	0
Sim36	STS-S	0.18	0
Sim37	STS-S	0.18	0
Sim38	STS-S	0.18	0
Sim39	STS-S	0.18	0
Sim40	STS-S	0.18	0
Sim41	STS-S	0.18	0
Sim42	STS-S	0.18	0
Sim43	STS-S	0.18	0
Sim44	STS-S	0.18	0
Sim45	STS-S	0.18	0
Sim46	STS-S	0.18	0
Sim47	STS-S	0.18	0
Sim48	STS-S	0.18	0
Sim49	STS-S	0.18	0
Sim50	STS-S	0.18	0
Sim51	STS-S	0.18	0
Sim52	STS-S	0.18	0
Sim53	STS-S	0.18	0
Sim54	STS-S	0.18	0
Sim55	STS-S	0.18	0
Sim56	STS-S	0.18	0
Sim57	STS-S	0.18	0
Sim58	STS-S	0.18	0
Sim59	STS-S	0.18	0
Sim60	STS-S	0.18	0
Sim61	STS-S	0.18	0
Sim62	STS-S	0.18	0
Sim63	STS-S	0.18	0
Sim64	STS-S	0.18	0
Sim65	STS-S	0.18	0
Sim66	STS-S	0.18	0
Sim67	STS-S	0.18	0
Sim68	STS-S	0.18	0
Sim69	STS-S	0.18	0
Sim70	STS-S	0.18	0
Sim71	STS-S	0.18	0
Sim72	STS-S	0.18	0
Sim73	STS-S	0.18	0
Sim74	STS-S	0.18	0
Sim75	STS-S	0.18	0
Sim76	STS-S	0.18	0
Sim77	STS-S	0.18	0
Sim78	STS-S	0.18	0
Sim79	STS-S	0.18	0
Sim80	STS-S	0.18	0
Sim81	STS-S	0.18	0
Sim82	STS-S	0.18	0
Sim83	STS-S	0.18	0
Sim84	STS-S	0.18	0
Sim85	STS-S	0.18	0
Sim86	STS-S	0.18	0
Sim87	STS-S	0.18	0
Sim88	STS-S	0.18	0
Sim89	STS-S	0.18	0
Sim90	STS-S	0.18	0
Sim91	STS-S	0.18	0
Sim92	STS-S	0.18	0
Sim93	STS-S	0.18	0
Sim94	STS-S	0.18	0
Sim95	STS-S	0.18	0
Sim96	STS-S	0.18	0
Sim97	STS-S	0.18	0
Sim98	STS-S	0.18	0
Sim99	STS-S	0.18	0
Sim100	STS-S	0.18	0
Sim1	STS-S	0.22	0
Sim2	STS-S	0.22	0
Sim3	STS-S	0.22	0
Sim4	STS-S	0.22	0
Sim5	STS-S	0.22	0
Sim6	STS-S	0.22	0
Sim7	STS-S	0.22	0
Sim8	STS-S	0.22	0
Sim9	STS-S	0.22	0
Sim10	STS-S	0.22	0
Sim11	STS-S	0.22	0
Sim12	STS-S	0.22	0
Sim13	STS-S	0.22	0
Sim14	STS-S	0.22	0
Sim15	STS-S	0.22	0
Sim16	STS-S	0.22	0
Sim17	STS-S	0.22	0
Sim18	STS-S	0.22	0
Sim19	STS-S	0.22	0
Sim20	STS-S	0.22	0
Sim21	STS-S	0.22	0
Sim22	STS-S	0.22	0
Sim23	STS-S	0.22	0
Sim24	STS-S	0.22	0
Sim25	STS-S	0.22	0
Sim26	STS-S	0.22	0
Sim27	STS-S	0.22	0
Sim28	STS-S	0.22	0
Sim29	STS-S	0.22	0
Sim30	STS-S	0.22	0
Sim31	STS-S	0.22	0
Sim32	STS-S	0.22	0
Sim33	STS-S	0.22	0
Sim34	STS-S	0.22	0
Sim35	STS-S	0.22	0
Sim36	STS-S	0.22	0
Sim37	STS-S	0.22	0
Sim38	STS-S	0.22	0
Sim39	STS-S	0.22	0
Sim40	STS-S	0.22	0
Sim41	STS-S	0.22	0
Sim42	STS-S	0.22	0
Sim43	STS-S	0.22	0
Sim44	STS-S	0.22	0
Sim45	STS-S	0.22	0
Sim46	STS-S	0.22	0
Sim47	STS-S	0.22	0
Sim48	STS-S	0.22	0
Sim49	STS-S	0.22	0
Sim50	STS-S	0.22	0
Sim51	STS-S	0.22	0
Sim52	STS-S	0.22	0
Sim53	STS-S	0.22	0
Sim54	STS-S	0.22	0
Sim55	STS-S	0.22	0
Sim56	STS-S	0.22	0
Sim57	STS-S	0.22	0
Sim58	STS-S	0.22	0
Sim59	STS-S	0.22	0
Sim60	STS-S	0.22	0
Sim61	STS-S	0.22	0
Sim62	STS-S	0.22	0
Sim63	STS-S	0.22	0
Sim64	STS-S	0.22	0
Sim65	STS-S	0.22	0
Sim66	STS-S	0.22	0
Sim67	STS-S	0.22	0
Sim68	STS-S	0.22	0
Sim69	STS-S	0.22	0
Sim70	STS-S	0.22	0
Sim71	STS-S	0.22	0
Sim72	STS-S	0.22	0
Sim73	STS-S	0.22	0
Sim74	STS-S	0.22	0
Sim75	STS-S	0.22	0
Sim76	STS-S	0.22	0
Sim77	STS-S	0.22	0
Sim78	STS-S	0.22	0
Sim79	STS-S	0.22	0
Sim80	STS-S	0.22	0
Sim81	STS-S	0.22	0
Sim82	STS-S	0.22	0
Sim83	STS-S	0.22	0
Sim84	STS-S	0.22	0
Sim85	STS-S	0.22	0
Sim86	STS-S	0.22	0
Sim87	STS-S	0.22	0
Sim88	STS-S	0.22	0
Sim89	STS-S	0.22	0
Sim90	STS-S	0.22	0
Sim91	STS-S	0.22	0
Sim92	STS-S	0.22	0
Sim93	STS-S	0.22	0
Sim94	STS-S	0.22	0
Sim95	STS-S	0.22	0
Sim96	STS-S	0.22	0
Sim97	STS-S	0.22	0
Sim98	STS-S	0.22	0
Sim99	STS-S	0.22	0
Sim100	STS-S	0.22	0
Sim1	STS-S	0.26	0
Sim2	STS-S	0.26	0
Sim3	STS-S	0.26	0
Sim4	STS-S	0.26	0
Sim5	STS-S	0.26	0
Sim6	STS-S	0.26	0
Sim7	STS-S	0.26	0
Sim8	STS-S	0.26	0
Sim9	STS-S	0.26	0
Sim10	STS-S	0.26	0
Sim11	STS-S	0.26	0
Sim12	STS-S	0.26	0
Sim13	STS-S	0.26	0
Sim14	STS-S	0.26	0
Sim15	STS-S	0.26	0
Sim16	STS-S	0.26	0
Sim17	STS-S	0.26	0
Sim18	STS-S	0.26	0
Sim19	STS-S	0.26	0
Sim20	STS-S	0.26	0
Sim21	STS-S	0.26	0
Sim22	STS-S	0.26	0
Sim23	STS-S	0.26	0
Sim24	STS-S	0.26	0
Sim25	STS-S	0.26	0
Sim26	STS-S	0.26	0
Sim27	STS-S	0.26	0
Sim28	STS-S	0.26	0
Sim29	STS-S	0.26	0
Sim30	STS-S	0.26	0
Sim31	STS-S	0.26	0
Sim32	STS-S	0.26	0
Sim33	STS-S	0.26	0
Sim34	STS-S	0.26	0
Sim35	STS-S	0.26	0
Sim36	STS-S	0.26	0
Sim37	STS-S	0.26	0
Sim38	STS-S	0.26	0
Sim39	STS-S	0.26	0
Sim40	STS-S	0.26	0
Sim41	STS-S	0.26	0
Sim42	STS-S	0.26	0
Sim43	STS-S	0.26	0
Sim44	STS-S	0.26	0
Sim45	STS-S	0.26	0
Sim46	STS-S	0.26	0
Sim47	STS-S	0.26	0
Sim48	STS-S	0.26	0
Sim49	STS-S	0.26	0
Sim50	STS-S	0.26	0
Sim51	STS-S	0.26	0
Sim52	STS-S	0.26	0
Sim53	STS-S	0.26	0
Sim54	STS-S	0.26	0
Sim55	STS-S	0.26	0
Sim56	STS-S	0.26	0
Sim57	STS-S	0.26	0
Sim58	STS-S	0.26	0
Sim59	STS-S	0.26	0
Sim60	STS-S	0.26	0
Sim61	STS-S	0.26	0
Sim62	STS-S	0.26	0
Sim63	STS-S	0.26	0
Sim64	STS-S	0.26	0
Sim65	STS-S	0.26	0
Sim66	STS-S	0.26	0
Sim67	STS-S	0.26	0
Sim68	STS-S	0.26	0
Sim69	STS-S	0.26	0
Sim70	STS-S	0.26	0
Sim71	STS-S	0.26	0
Sim72	STS-S	0.26	0
Sim73	STS-S	0.26	0
Sim74	STS-S	0.26	0
Sim75	STS-S	0.26	0
Sim76	STS-S	0.26	0
Sim77	STS-S	0.26	0
Sim78	STS-S	0.26	0
Sim79	STS-S	0.26	0
Sim80	STS-S	0.26	0
Sim81	STS-S	0.26	0
Sim82	STS-S	0.26	0
Sim83	STS-S	0.26	0
Sim84	STS-S	0.26	0
Sim85	STS-S	0.26	0
Sim86	STS-S	0.26	0
Sim87	STS-S	0.26	0
Sim88	STS-S	0.26	0
Sim89	STS-S	0.26	0
Sim90	STS-S	0.26	0
Sim91	STS-S	0.26	0
Sim92	STS-S	0.26	0
Sim93	STS-S	0.26	0
Sim94	STS-S	0.26	0
Sim95	STS-S	0.26	0
Sim96	STS-S	0.26	0
Sim97	STS-S	0.26	0
Sim98	STS-S	0.26	0
Sim99	STS-S	0.26	0
Sim100	STS-S	0.26	0
Sim1	STS-S	0.3	0
Sim2	STS-S	0.3	0
Sim3	STS-S	0.3	0
Sim4	STS-S	0.3	0
Sim5	STS-S	0.3	0
Sim6	STS-S	0.3	0
Sim7	STS-S	0.3	0
Sim8	STS-S	0.3	0
Sim9	STS-S	0.3	0
Sim10	STS-S	0.3	0
Sim11	STS-S	0.3	0
Sim12	STS-S	0.3	0
Sim13	STS-S	0.3	0
Sim14	STS-S	0.3	0
Sim15	STS-S	0.3	0
Sim16	STS-S	0.3	0
Sim17	STS-S	0.3	0
Sim18	STS-S	0.3	0
Sim19	STS-S	0.3	0
Sim20	STS-S	0.3	0
Sim21	STS-S	0.3	0
Sim22	STS-S	0.3	0
Sim23	STS-S	0.3	0
Sim24	STS-S	0.3	0
Sim25	STS-S	0.3	0
Sim26	STS-S	0.3	0
Sim27	STS-S	0.3	0
Sim28	STS-S	0.3	0
Sim29	STS-S	0.3	0
Sim30	STS-S	0.3	0
Sim31	STS-S	0.3	0
Sim32	STS-S	0.3	0
Sim33	STS-S	0.3	0
Sim34	STS-S	0.3	0
Sim35	STS-S	0.3	0
Sim36	STS-S	0.3	0
Sim37	STS-S	0.3	0
Sim38	STS-S	0.3	0
Sim39	STS-S	0.3	0
Sim40	STS-S	0.3	0
Sim41	STS-S	0.3	0
Sim42	STS-S	0.3	0
Sim43	STS-S	0.3	0
Sim44	STS-S	0.3	0
Sim45	STS-S	0.3	0
Sim46	STS-S	0.3	0
Sim47	STS-S	0.3	0
Sim48	STS-S	0.3	0
Sim49	STS-S	0.3	0
Sim50	STS-S	0.3	0
Sim51	STS-S	0.3	0
Sim52	STS-S	0.3	0
Sim53	STS-S	0.3	0
Sim54	STS-S	0.3	0
Sim55	STS-S	0.3	0
Sim56	STS-S	0.3	0
Sim57	STS-S	0.3	0
Sim58	STS-S	0.3	0
Sim59	STS-S	0.3	0
Sim60	STS-S	0.3	0
Sim61	STS-S	0.3	0
Sim62	STS-S	0.3	0
Sim63	STS-S	0.3	0
Sim64	STS-S	0.3	0
Sim65	STS-S	0.3	0
Sim66	STS-S	0.3	0
Sim67	STS-S	0.3	0
Sim68	STS-S	0.3	0
Sim69	STS-S	0.3	0
Sim70	STS-S	0.3	0
Sim71	STS-S	0.3	0
Sim72	STS-S	0.3	0
Sim73	STS-S	0.3	0
Sim74	STS-S	0.3	0
Sim75	STS-S	0.3	0
Sim76	STS-S	0.3	0
Sim77	STS-S	0.3	0
Sim78	STS-S	0.3	0
Sim79	STS-S	0.3	0
Sim80	STS-S	0.3	0
Sim81	STS-S	0.3	0
Sim82	STS-S	0.3	0
Sim83	STS-S	0.3	0
Sim84	STS-S	0.3	0
Sim85	STS-S	0.3	0
Sim86	STS-S	0.3	0
Sim87	STS-S	0.3	0
Sim88	STS-S	0.3	0
Sim89	STS-S	0.3	0
Sim90	STS-S	0.3	0
Sim91	STS-S	0.3	0
Sim92	STS-S	0.3	0
Sim93	STS-S	0.3	0
Sim94	STS-S	0.3	0
Sim95	STS-S	0.3	0
Sim96	STS-S	0.3	0
Sim97	STS-S	0.3	0
Sim98	STS-S	0.3	0
Sim99	STS-S	0.3	0
Sim100	STS-S	0.3	0
Sim1	STS-S	0.34	0
Sim2	STS-S	0.34	0
Sim3	STS-S	0.34	0
Sim4	STS-S	0.34	0
Sim5	STS-S	0.34	0
Sim6	STS-S	0.34	0
Sim7	STS-S	0.34	0
Sim8	STS-S	0.34	0
Sim9	STS-S	0.34	0
Sim10	STS-S	0.34	0
Sim11	STS-S	0.34	0
Sim12	STS-S	0.34	0
Sim13	STS-S	0.34	0
Sim14	STS-S	0.34	0
Sim15	STS-S	0.34	0
Sim16	STS-S	0.34	0
Sim17	STS-S	0.34	0
Sim18	STS-S	0.34	0
Sim19	STS-S	0.34	0
Sim20	STS-S	0.34	0
Sim21	STS-S	0.34	0
